ticker,stock_name,isin_code,market_type
011810.KS,STX,KR7011810009,KOSPI
077970.KS,STX엔진,KR7077970002,KOSPI
084870.KS,TBH글로벌,KR7084870005,KOSPI
002710.KS,TCC스틸,KR7002710002,KOSPI
024070.KS,WISCOM,KR7024070005,KOSPI
079940.KQ,가비아,KR7079940003,KOSDAQ
078890.KQ,가온그룹,KR7078890001,KOSDAQ
000500.KS,가온전선,KR7000500009,KOSPI
399720.KQ,가온칩스,KR7399720002,KOSDAQ
036620.KQ,감성코퍼레이션,KR7036620003,KOSDAQ
000860.KS,강남제비스코,KR7000860007,KOSPI
198440.KQ,강동씨앤엘,KR7198440000,KOSDAQ
217730.KQ,강스템바이오텍,KR7217730001,KOSDAQ
035250.KS,강원랜드,KR7035250000,KOSPI
114190.KQ,강원에너지,KR7114190002,KOSDAQ
094480.KQ,갤럭시아머니트리,KR7094480001,KOSDAQ
011420.KS,갤럭시아에스엠,KR7011420007,KOSPI
039240.KQ,경남스틸,KR7039240007,KOSDAQ
053950.KQ,경남제약,KR7053950002,KOSDAQ
002100.KS,경농,KR7002100006,KOSPI
009450.KS,경동나비엔,KR7009450008,KOSPI
267290.KS,경동도시가스,KR7267290005,KOSPI
012320.KS,경동인베스트,KR7012320008,KOSPI
011040.KQ,경동제약,KR7011040003,KOSDAQ
000050.KS,경방,KR7000050005,KOSPI
214390.KS,경보제약,KR7214390007,KOSPI
012610.KS,경인양행,KR7012610002,KOSPI
009140.KS,경인전자,KR7009140005,KOSPI
024910.KQ,경창산업,KR7024910002,KOSDAQ
013580.KS,계룡건설,KR7013580006,KOSPI
012205.KS,계양전기우,KR7012201000,KOSPI
012200.KS,계양전기,KR7012200002,KOSPI
002140.KS,고려산업,KR7002140002,KOSPI
049720.KQ,고려신용정보,KR7049720006,KOSDAQ
010130.KS,고려아연,KR7010130003,KOSPI
002240.KS,고려제강,KR7002240000,KOSPI
014570.KQ,고려제약,KR7014570006,KOSDAQ
348150.KQ,고바이오랩,KR7348150004,KOSDAQ
950190.KQ,고스트스튜디오,KR8344390008,KOSDAQ
098460.KQ,고영,KR7098460009,KOSDAQ
035290.KQ,골드앤에스,KR7035290006,KOSDAQ
121440.KQ,골프존홀딩스,KR7121440002,KOSDAQ
366030.KQ,공구우먼,KR7366030005,KOSDAQ
009290.KS,광동제약,KR7009290008,KOSPI
014200.KQ,광림,KR7014200000,KOSDAQ
017040.KS,광명전기,KR7017040007,KOSPI
029480.KQ,광무,KR7029480001,KOSDAQ
017900.KS,광전자,KR7017900002,KOSPI
037710.KS,광주신세계,KR7037710001,KOSPI
026910.KQ,광진실업,KR7026910000,KOSDAQ
456490.KQ,교보14호스팩,KR7456490002,KOSDAQ
465320.KQ,교보15호스팩,KR7465320000,KOSDAQ
482520.KQ,교보16호스팩,KR7482520004,KOSDAQ
489210.KQ,교보17호스팩,KR7489210005,KOSDAQ
030610.KS,교보증권,KR7030610000,KOSPI
339770.KS,교촌에프앤비,KR7339770000,KOSPI
053270.KQ,구영테크,KR7053270005,KOSDAQ
007690.KS,국도화학,KR7007690001,KOSPI
066620.KQ,국보디자인,KR7066620006,KOSDAQ
001140.KS,국보,KR7001140003,KOSPI
043650.KQ,국순당,KR7043650001,KOSDAQ
006050.KQ,국영지앤엠,KR7006050009,KOSDAQ
060480.KQ,국일신동,KR7060480001,KOSDAQ
078130.KQ,국일제지,KR7078130002,KOSDAQ
307750.KQ,국전약품,KR7307750000,KOSDAQ
002720.KS,국제약품,KR7002720001,KOSPI
035080.KQ,그래디언트,KR7035080001,KOSDAQ
114090.KS,GKL,KR7114090004,KOSPI
900290.KQ,GRT,HK0000307485,KOSDAQ
453450.KQ,그리드위즈,KR7453450009,KOSDAQ
204020.KQ,그리티,KR7204020002,KOSDAQ
402490.KQ,그린리소스,KR7402490007,KOSDAQ
114450.KQ,그린생명과학,KR7114450000,KOSDAQ
083420.KS,그린케미칼,KR7083420000,KOSPI
186230.KQ,그린플러스,KR7186230009,KOSDAQ
014530.KS,극동유화,KR7014530000,KOSPI
083450.KQ,GST,KR7083450007,KOSDAQ
900070.KQ,글로벌에스엠,KYG3931T1076,KOSDAQ
204620.KQ,글로벌텍스프리,KR7204620009,KOSDAQ
019660.KQ,글로본,KR7019660000,KOSDAQ
014285.KS,금강공업우,KR7014281000,KOSPI
014280.KS,금강공업,KR7014280002,KOSPI
053260.KQ,금강철강,KR7053260006,KOSDAQ
008870.KS,금비,KR7008870008,KOSPI
282720.KQ,금양그린파워,KR7282720002,KOSDAQ
001570.KS,금양,KR7001570001,KOSPI
002995.KS,금호건설우,KR7002991008,KOSPI
002990.KS,금호건설,KR7002990000,KOSPI
011785.KS,금호석유화학우,KR7011781002,KOSPI
011780.KS,금호석유화학,KR7011780004,KOSPI
214330.KS,금호에이치티,KR7214330003,KOSPI
001210.KS,금호전기,KR7001210004,KOSPI
073240.KS,금호타이어,KR7073240004,KOSPI
036190.KQ,금화피에스시,KR7036190007,KOSDAQ
049080.KQ,기가레인,KR7049080005,KOSDAQ
420770.KQ,기가비스,KR7420770000,KOSDAQ
035460.KQ,기산텔레콤,KR7035460005,KOSDAQ
092440.KS,기신정기,KR7092440007,KOSPI
000270.KS,기아,KR7000270009,KOSPI
013700.KS,까뮤이앤씨,KR7013700000,KOSPI
004545.KS,깨끗한나라우,KR7004541009,KOSPI
004540.KS,깨끗한나라,KR7004540001,KOSPI
407400.KQ,꿈비,KR7407400001,KOSDAQ
187790.KQ,나노,KR7187790001,KOSDAQ
121600.KQ,나노신소재,KR7121600001,KOSDAQ
286750.KQ,나노실리칸첨단소재,KR7286750005,KOSDAQ
247660.KQ,나노씨엠에스,KR7247660004,KOSDAQ
039860.KQ,나노엔텍,KR7039860002,KOSDAQ
091970.KQ,나노캠텍,KR7091970004,KOSDAQ
417010.KQ,나노팀,KR7417010006,KOSDAQ
405920.KQ,나라셀라,KR7405920000,KOSDAQ
